cpf,email,idade,nome
24057485245,felippe47@empresa.com,22,Felippe Pinheiro
28999431390,ana5@hotmail.com,78,Ana Souza
53516314561,carlos69@empresa.com,46,Carlos Pereira
12520677202,mariana16@hotmail.com,55,Mariana Silva
36633471826,joão67@yahoo.com,30,João Oliveira
60664443262,cláudia64@yahoo.com,67,Cláudia Hirahara
13531539195,rafael65@yahoo.com,78,Rafael Mendes
44420563757,beatriz63@hotmail.com,45,Beatriz Lima
17737109972,pedro61@yahoo.com,61,Pedro Santos
66349279024,gabriela64@empresa.com,66,Gabriela Costa
57431875615,lucas21@gmail.com,56,Lucas Almeida
11345465664,fernanda61@empresa.com,70,Fernanda Rocha
62127571618,guilherme97@empresa.com,40,
47844304286,juliana65@gmail.com,65,Juliana Martins
19485091127,diego41@hotmail.com,78,Diego Araujo
88706351281,camila54@hotmail.com,32,Camila Nunes
92840845020,andré79@gmail.com,64,André Carvalho
19560145482,patrícia13@yahoo.com,28,Patrícia Ramos
87059149484,rodrigo71@empresa.com,kj,Rodrigo Cunha
46196956574,larissa25@gmail.com,80,Larissa Duarte
24965795869,tiago94@empresa.com,54,Tiago Moreira
70122059180,isabela13@hotmail.com,22,Isabela Castro
06622037284,matheus37@empresa.com,35,Matheus Gomes
63018179160,aline74@yahoo.com,40,Aline Teixeira
30035174558,,33,Bruno Fernandes
65037120677,renata41@empresa.com,48,Renata Pires
67760390310,eduardo67@gmail.com,28,Eduardo Correia
98254295jljj239,paula41@yahoo.com,47,Paula Figueiredo
68757960407,victor77@hotmail.com,51,Victor Souza
15326293618,marcela28@hotmail.com,37,Marcela Tavares
